"","country","week","mismatch","meanI","meanR0","meantemp","combination","meanRH"
"9479",36,45,0.75,18692517.9621815,2.61532702846649,NA,1,0.679714524897849
"9480",36,46,0.75,16581573.6642459,2.19482045395623,NA,1,0.665814495398636
"9481",36,47,0.75,14212328.7376659,1.83277653441873,NA,1,0.652898571902538
"9482",36,48,0.75,11698989.6093709,1.53317977273303,NA,1,0.641154068301522
"9483",36,49,0.75,9202728.78614868,1.29386554987,NA,1,0.630751309906004
"9484",36,50,0.75,6900032.93112976,1.10914005804283,NA,1,0.621841163292646
"9485",36,51,0.75,4937165.5127372,0.972002848029128,NA,1,0.614552848353518
"9486",36,52,0.75,3392231.62823396,0.875714737434845,NA,1,0.608992064277499
"9487",36,53,0.75,2683679.48320824,0.835503090722925,NA,1,0.606546876580242
"9488",36,1,1,1555231.10381242,0.801518796024045,NA,1,0.604854484190496
"9489",36,2,1,1048141.29829634,0.782684704574273,NA,1,0.603233435322825
"9490",36,3,1,715841.967219317,0.785806272482072,NA,1,0.603504077729266
"9491",36,4,1,506891.44192604,0.811029772906267,NA,1,0.605662486403409
"9492",36,5,1,382133.803591623,0.859514873316813,NA,1,0.609677358904564
"9493",36,6,1,315998.314001015,0.933379517263941,NA,1,0.615490469323125
"9494",36,7,1,296215.528587778,1.03557096499209,NA,1,0.623017512705035
"9495",36,8,1,326049.031384942,1.169620268846,NA,1,0.632149327689024
"9496",36,9,1,436864.40865275,1.33922948091573,NA,1,0.642753479625265
"9497",36,10,1,736581.272831004,1.54765168325446,NA,1,0.654676181216178
"9498",36,11,1,1595580.91640273,1.79686325276894,NA,1,0.667744522825184
"9499",36,12,1,4334431.39399115,2.08659997173464,NA,1,0.681768980108236
"9500",36,13,1,12388946.8357673,2.41342354108611,NA,1,0.696546162601057
"9501",36,14,1,24193553.497623,2.77007137115639,NA,1,0.711861763400548
"9502",36,15,1,26227742.6286569,3.145371560183,NA,1,0.727493667162464
"9503",36,16,1,24745009.6412618,3.52493145714037,NA,1,0.743215171341421
"9504",36,17,1,24252596.1652677,3.89262226567934,NA,1,0.758798273957053
"9505",36,18,1,24430323.1636469,4.23263262633579,NA,1,0.774016980205288
"9506",36,19,1,25032205.7305811,4.53164957241973,NA,1,0.788650579960447
"9507",36,20,1,25304164.6864384,4.78064709816314,NA,1,0.802486848635995
"9508",36,21,1,25416900.7844535,4.97586574285378,NA,1,0.815325124983302
"9509",36,22,1,25500542.1289345,5.11880941016706,NA,1,0.826979221192449
"9510",36,23,1,25552616.6326459,5.21536258227085,NA,1,0.837280123091204
"9511",36,24,1,25569494.0523842,5.27433262598267,NA,1,0.846078441282359
"9512",36,25,1,25566043.9257487,5.30578954756147,NA,1,0.853246577671697
"9513",36,26,1,25554730.1837321,5.31951915028574,NA,1,0.858680575966377
"9514",36,27,1,25542691.7723136,5.3237811851103,NA,1,0.862301629306802
"9515",36,28,1,25533883.5005498,5.32443628831008,NA,1,0.864057223167438
"9516",36,29,1,25528921.3594123,5.32441859738828,NA,1,0.863921896951615
"9517",36,30,1,25524611.163367,5.32349990504101,NA,1,0.861897613235233
"9518",36,31,1,25514110.9789798,5.3183073309531,NA,1,0.858013729304395
"9519",36,32,1,25487458.2642908,5.30259772063126,NA,1,0.852326571399751
"9520",36,33,1,25432199.2000088,5.26783123052719,NA,1,0.844918617842085
"9521",36,34,1,25333955.3088918,5.20409708839286,NA,1,0.835897302885933
"9522",36,35,1,25176769.4120906,5.10140559733929,NA,1,0.825393458648381
"9523",36,36,1,24943144.5542157,4.95126612066577,NA,1,0.813559417709082
"9524",36,37,1,24613803.9806499,4.74834010323016,NA,1,0.800566803898632
"9525",36,38,1,24167311.5186859,4.4918393821312,NA,1,0.786604043314508
"9526",36,39,1,23579793.7150931,4.18629860338886,NA,1,0.771873631661214
"9527",36,40,1,22825111.1173102,3.84143824446491,NA,1,0.756589197545169
"9528",36,41,1,21875942.7968049,3.47105222269059,NA,1,0.740972404314077
"9529",36,42,1,20706348.7647586,3.09113346472708,NA,1,0.725249735372015
"9530",36,43,1,19296367.4519061,2.71767920723255,NA,1,0.709649209591391
"9531",36,44,1,17638911.9733081,2.36469558705826,NA,1,0.694397074456687
"9532",36,45,1,15748416.1252516,2.04281882157208,NA,1,0.679714524897849
"9533",36,46,1,13669245.09799,1.75874392367054,NA,1,0.665814495398636
"9534",36,47,1,11480115.0615632,1.51540622722665,NA,1,0.652898571902538
"9535",36,48,1,9289907.359385,1.31268959240578,NA,1,0.641154068301522
"9536",36,49,1,7221982.43958659,1.14837807770696,NA,1,0.630751309906004
"9537",36,50,1,5389285.41744449,1.01910825997067,NA,1,0.621841163292646
"9538",36,51,1,3869043.04678464,0.921169652437388,NA,1,0.614552848353518
"9539",36,52,1,2688245.31851236,0.851093766326009,NA,1,0.608992064277499
"9540",36,53,1,2147481.50021596,0.821467608190581,NA,1,0.606546876580242
"9541",37,1,0,2315210.10384561,2.34083975714722,NA,1,0.638795026431586
"9542",37,2,0,2064035.46782535,2.02130403232456,NA,1,0.659025561829747
"9543",37,3,0,1789845.14359071,1.7399507476543,NA,1,0.678153809691007
"9544",37,4,0,1503742.79772785,1.49945933427068,NA,1,0.695902361547087
"9545",37,5,0,1219525.64154244,1.29952074631952,NA,1,0.712013818047024
"9546",37,6,0,951634.407173064,1.13779750383538,NA,1,0.726254521905436
"9547",37,7,0,713265.251935827,1.01086965195221,NA,1,0.738417946530174
"9548",37,8,0,514158.156219196,0.915021224078627,NA,1,0.7483276911856
"9549",37,9,0,358454.151150186,0.846813798413238,NA,1,0.755840039253978
"9550",37,10,0,244197.249638296,0.803459095128041,NA,1,0.76084604249363
"9551",37,11,0,164998.783501606,0.783035048736483,NA,1,0.76327310106682
"9552",37,12,0,112703.157227722,0.784595655023603,NA,1,0.763086016422897
